# OpenSignals Text File Format
# {"00:21:08:35:17:ED":{"sensor":["RAW","RAW"],"device name":"00:21:08:35:17:ED","column":["nSeq","I1","I2","O1","O2","A2","A6"],"sync interval":2,"time":"17:28:23","comments":"","device connection":"BTH00:21:08:35:17:ED","channels":[2,6],"date":"2024-06-17","mode":0,"digital IO":[0,0,1,1],"firmware version":0,"device":"bitalino_rev","position":0,"sampling rate":1000,"label":["A2","A6"],"resolution":[10,10],"special":[{},{}]}}
# EndOfHeader
0	0	0	0	0	498	1
1	0	0	0	0	505	1
2	0	0	0	0	511	1
3	0	0	0	0	517	1
4	0	0	0	0	523	1
5	0	0	0	0	525	1
6	0	0	0	0	529	1
7	0	0	0	0	532	1
8	0	0	0	0	534	1
9	0	0	0	0	534	1
10	0	0	0	0	535	1
11	0	0	0	0	537	1
12	0	0	0	0	541	1
13	0	0	0	0	544	1
14	0	0	0	0	549	1
15	0	0	0	0	553	1
0	0	0	0	0	550	1
1	0	0	0	0	547	1
2	0	0	0	0	547	1
3	0	0	0	0	545	1
4	0	0	0	0	540	1
5	0	0	0	0	535	1
6	0	0	0	0	529	1
7	0	0	0	0	526	1
8	0	0	0	0	526	1
9	0	0	0	0	531	1
10	0	0	0	0	536	1
11	0	0	0	0	542	1
12	0	0	0	0	545	1
13	0	0	0	0	550	1
14	0	0	0	0	556	1
15	0	0	0	0	559	1
0	0	0	0	0	562	1
1	0	0	0	0	567	1
2	0	0	0	0	576	2
3	0	0	0	0	580	1
4	0	0	0	0	579	1
5	0	0	0	0	575	1
6	0	0	0	0	567	1
7	0	0	0	0	562	1
8	0	0	0	0	558	1
9	0	0	0	0	554	1
10	0	0	0	0	553	1
11	0	0	0	0	555	1
12	0	0	0	0	562	1
13	0	0	0	0	569	1
14	0	0	0	0	575	1
15	0	0	0	0	581	1
0	0	0	0	0	587	1
1	0	0	0	0	588	1
2	0	0	0	0	589	1
3	0	0	0	0	583	1
4	0	0	0	0	573	1
5	0	0	0	0	566	1
6	0	0	0	0	562	1
7	0	0	0	0	560	1
8	0	0	0	0	559	1
9	0	0	0	0	553	1
10	0	0	0	0	543	1
11	0	0	0	0	535	1
12	0	0	0	0	527	1
13	0	0	0	0	523	1
14	0	0	0	0	520	1
15	0	0	0	0	521	1
0	0	0	0	0	522	1
1	0	0	0	0	522	1
2	0	0	0	0	526	1
3	0	0	0	0	531	1
4	0	0	0	0	536	1
5	0	0	0	0	539	1
6	0	0	0	0	537	1
7	0	0	0	0	532	1
8	0	0	0	0	529	1
9	0	0	0	0	527	1
10	0	0	0	0	527	1
11	0	0	0	0	525	1
12	0	0	0	0	527	1
13	0	0	0	0	533	1
14	0	0	0	0	547	1
15	0	0	0	0	565	1
0	0	0	0	0	585	1
1	0	0	0	0	604	1
2	0	0	0	0	616	2
3	0	0	0	0	617	1
4	0	0	0	0	615	1
5	0	0	0	0	612	1
6	0	0	0	0	612	1
7	0	0	0	0	614	1
8	0	0	0	0	615	1
9	0	0	0	0	619	1
10	0	0	0	0	621	2
11	0	0	0	0	624	2
12	0	0	0	0	626	1
13	0	0	0	0	625	1
14	0	0	0	0	623	1
15	0	0	0	0	620	1
0	0	0	0	0	616	1
1	0	0	0	0	606	1
2	0	0	0	0	597	2
3	0	0	0	0	590	1
4	0	0	0	0	586	1
5	0	0	0	0	583	1
6	0	0	0	0	582	1
7	0	0	0	0	576	1
8	0	0	0	0	572	1
9	0	0	0	0	572	1
10	0	0	0	0	573	2
11	0	0	0	0	574	1
12	0	0	0	0	573	1
13	0	0	0	0	571	1
14	0	0	0	0	567	1
15	0	0	0	0	564	1
0	0	0	0	0	563	1
1	0	0	0	0	563	1
2	0	0	0	0	564	1
3	0	0	0	0	561	1
4	0	0	0	0	557	1
5	0	0	0	0	553	1
6	0	0	0	0	555	1
7	0	0	0	0	558	1
8	0	0	0	0	559	1
9	0	0	0	0	560	1
10	0	0	0	0	557	1
11	0	0	0	0	554	1
12	0	0	0	0	554	1
13	0	0	0	0	553	1
14	0	0	0	0	550	1
15	0	0	0	0	545	1
0	0	0	0	0	539	1
1	0	0	0	0	534	1
2	0	0	0	0	530	1
3	0	0	0	0	529	1
4	0	0	0	0	531	1
5	0	0	0	0	534	1
6	0	0	0	0	538	1
7	0	0	0	0	542	1
8	0	0	0	0	545	1
9	0	0	0	0	544	1
10	0	0	0	0	541	1
11	0	0	0	0	536	1
12	0	0	0	0	534	1
13	0	0	0	0	533	1
14	0	0	0	0	534	1
15	0	0	0	0	534	1
0	0	0	0	0	535	1
1	0	0	0	0	534	1
2	0	0	0	0	530	1
3	0	0	0	0	527	1
4	0	0	0	0	519	1
5	0	0	0	0	510	1
6	0	0	0	0	502	1
7	0	0	0	0	497	1
8	0	0	0	0	496	1
9	0	0	0	0	494	1
10	0	0	0	0	498	1
11	0	0	0	0	506	1
12	0	0	0	0	513	1
13	0	0	0	0	514	1
14	0	0	0	0	514	1
15	0	0	0	0	512	1
0	0	0	0	0	504	1
1	0	0	0	0	494	1
2	0	0	0	0	486	1
3	0	0	0	0	484	1
4	0	0	0	0	488	1
5	0	0	0	0	494	1
6	0	0	0	0	505	1
7	0	0	0	0	515	1
8	0	0	0	0	525	1
9	0	0	0	0	535	1
10	0	0	0	0	543	1
11	0	0	0	0	547	1
12	0	0	0	0	547	1
13	0	0	0	0	542	1
14	0	0	0	0	534	1
15	0	0	0	0	523	1
0	0	0	0	0	508	1
1	0	0	0	0	501	1
2	0	0	0	0	495	1
3	0	0	0	0	488	1
4	0	0	0	0	485	1
5	0	0	0	0	487	1
6	0	0	0	0	488	1
7	0	0	0	0	487	1
8	0	0	0	0	485	0
9	0	0	0	0	481	1
10	0	0	0	0	479	1
11	0	0	0	0	480	1
12	0	0	0	0	479	1
13	0	0	0	0	478	1
14	0	0	0	0	478	1
15	0	0	0	0	479	1
0	0	0	0	0	480	1
1	0	0	0	0	476	1
2	0	0	0	0	472	1
3	0	0	0	0	461	0
4	0	0	0	0	447	0
5	0	0	0	0	440	0
6	0	0	0	0	438	0
7	0	0	0	0	440	0
8	0	0	0	0	447	0
9	0	0	0	0	454	0
10	0	0	0	0	461	1
11	0	0	0	0	465	1
12	0	0	0	0	462	1
13	0	0	0	0	458	1
14	0	0	0	0	453	0
15	0	0	0	0	448	0
0	0	0	0	0	445	0
1	0	0	0	0	442	0
2	0	0	0	0	441	1
3	0	0	0	0	441	0
4	0	0	0	0	440	0
5	0	0	0	0	435	0
6	0	0	0	0	430	0
7	0	0	0	0	425	0
8	0	0	0	0	424	0
9	0	0	0	0	428	0
10	0	0	0	0	436	1
11	0	0	0	0	445	0
12	0	0	0	0	449	1
13	0	0	0	0	450	0
14	0	0	0	0	453	0
15	0	0	0	0	456	0
0	0	0	0	0	457	0
1	0	0	0	0	460	0
2	0	0	0	0	463	1
3	0	0	0	0	467	1
4	0	0	0	0	469	1
5	0	0	0	0	473	0
6	0	0	0	0	480	1
7	0	0	0	0	485	1
8	0	0	0	0	486	1
9	0	0	0	0	485	1
10	0	0	0	0	486	1
11	0	0	0	0	488	1
12	0	0	0	0	488	1
13	0	0	0	0	488	1
14	0	0	0	0	485	1
15	0	0	0	0	478	1
0	0	0	0	0	471	1
1	0	0	0	0	464	1
2	0	0	0	0	461	1
3	0	0	0	0	462	1
4	0	0	0	0	462	0
5	0	0	0	0	463	1
6	0	0	0	0	466	1
7	0	0	0	0	469	1
8	0	0	0	0	471	1
9	0	0	0	0	471	0
10	0	0	0	0	473	1
11	0	0	0	0	477	1
12	0	0	0	0	482	1
13	0	0	0	0	484	1
14	0	0	0	0	482	1
15	0	0	0	0	480	1
0	0	0	0	0	474	1
1	0	0	0	0	467	1
2	0	0	0	0	461	1
3	0	0	0	0	460	0
4	0	0	0	0	462	1
5	0	0	0	0	463	1
6	0	0	0	0	465	1
7	0	0	0	0	468	1
8	0	0	0	0	470	1
9	0	0	0	0	472	1
10	0	0	0	0	471	1
11	0	0	0	0	471	1
12	0	0	0	0	471	1
13	0	0	0	0	464	0
14	0	0	0	0	459	1
15	0	0	0	0	460	1
0	0	0	0	0	465	1
1	0	0	0	0	472	1
2	0	0	0	0	478	1
3	0	0	0	0	482	1
4	0	0	0	0	486	1
5	0	0	0	0	490	1
6	0	0	0	0	492	1
7	0	0	0	0	496	1
8	0	0	0	0	500	1
9	0	0	0	0	500	1
10	0	0	0	0	494	1
11	0	0	0	0	484	1
